name,selected,SupportVectorMachine_macro_f1,DecisionTree_macro_f1,RandomForest_macro_f1,NaiveBayes_macro_f1,ZeroR_macro_f1
Autoencoder,5,0.5057312901642095,0.4967971688531304,0.5040468677963762,0.5181006543836014,0.33899159663865547
Autoencoder,10,0.5130954058364926,0.5070833398220599,0.521292041563879,0.5254448082272257,0.33899159663865547
Autoencoder,20,0.5342360966612753,0.5206055720969136,0.5340770648559632,0.5362372481857605,0.33899159663865547
Autoencoder,50,0.5681317453768244,0.5137876856454637,0.5594402379918825,0.5621173285702812,0.33899159663865547
Autoencoder,100,0.5865910340285033,0.5290641159750569,0.5741689732506464,0.5901602124704622,0.33899159663865547
Autoencoder,200,0.6137510711900384,0.5480084612711725,0.6066800569980918,0.6168937587569404,0.33899159663865547
ChannelAttention,5,0.6224221920398447,0.5488894061828345,0.6033519140654846,0.6277871167209346,0.33899159663865547
ChannelAttention,10,0.6700420841489579,0.5841293802713847,0.6567839609923084,0.6696024538567256,0.33899159663865547
ChannelAttention,20,0.7073492162853163,0.589029896863102,0.68632033360924,0.6999496889715936,0.33899159663865547
ChannelAttention,50,0.7428167911349897,0.59952554265521,0.7265962748769497,0.7417816405795628,0.33899159663865547
ChannelAttention,100,0.7583562402840522,0.6011219023141348,0.7342500250488784,0.7544937342863945,0.33899159663865547
ChannelAttention,200,0.7696021637473138,0.5879156872162862,0.7303610616691398,0.7585109152798764,0.33899159663865547
IntegratedGradients,5,0.6417228564467856,0.5814679741663394,0.6230855844194279,0.6521100136119933,0.33899159663865547
IntegratedGradients,10,0.6798289482701019,0.5923185984369918,0.6684277863271402,0.6849100783351887,0.33899159663865547
IntegratedGradients,20,0.7296816861293848,0.6153272185663625,0.7104231766191187,0.7326350499203024,0.33899159663865547
IntegratedGradients,50,0.7710065009749031,0.6062200103878712,0.7270364882393398,0.7641870598157144,0.33899159663865547
IntegratedGradients,100,0.7748497474127043,0.6010778956462015,0.7319866834326998,0.7685550201510029,0.33899159663865547
IntegratedGradients,200,0.7905379773522222,0.5903904233906372,0.7316893109211609,0.7744965000837871,0.33899159663865547
KruskallWallisFilter,5,0.713384896215239,0.607853727569315,0.6900926905470215,0.7279075482833247,0.33899159663865547
KruskallWallisFilter,10,0.7139529294700839,0.6249993924842999,0.7023649486193089,0.7274329079522497,0.33899159663865547
KruskallWallisFilter,20,0.7283664218704136,0.6172861887131122,0.7097809853049327,0.7285958766734618,0.33899159663865547
KruskallWallisFilter,50,0.7298335190935168,0.6116880971038443,0.7098108504644627,0.7248249079588296,0.33899159663865547
KruskallWallisFilter,100,0.7349443141571976,0.6195166404835974,0.7099907963002655,0.7191985814039862,0.33899159663865547
KruskallWallisFilter,200,0.7304586988707833,0.6107126967589733,0.7188059497438379,0.722932561709395,0.33899159663865547
Lasso,5,0.6587670717798948,0.5828832989890339,0.6483703136800771,0.6666239221659541,0.33899159663865547
Lasso,10,0.7255280611877611,0.606286067382337,0.6885281595373778,0.72039489258992,0.33899159663865547
Lasso,20,0.7734126481208409,0.6204251655807352,0.7551466056513965,0.7631617018125455,0.33899159663865547
Lasso,50,0.8027176384790735,0.6068239039779408,0.7500085585634245,0.7776388570400533,0.33899159663865547
Lasso,100,0.8120749438259551,0.6248553713755595,0.7388181324762775,0.7591093256612128,0.33899159663865547
Lasso,200,0.7845883064960862,0.5821491575059182,0.7064705274012925,0.7202399451149587,0.33899159663865547
RandomForest,5,0.6930478758666047,0.6093019804990685,0.6798076381096961,0.7074774335603751,0.33899159663865547
RandomForest,10,0.6996730722404283,0.6168991310563732,0.6992750353460171,0.719029728463247,0.33899159663865547
RandomForest,20,0.7185382368320182,0.6133517146591516,0.7181280204127394,0.7266951117927472,0.33899159663865547
RandomForest,50,0.7263323396760151,0.6171947014525582,0.718534868079643,0.7255116952647009,0.33899159663865547
RandomForest,100,0.7280354634804054,0.6008416100963894,0.7190893247525116,0.7284375342201792,0.33899159663865547
RandomForest,200,0.7333540642959185,0.592085174489004,0.7232458191011555,0.7359181739622744,0.33899159663865547
SVMRFE,5,0.7535490259017555,0.6211481686774698,0.6834932792680423,0.7391298888899411,0.33899159663865547
SVMRFE,10,0.8204944283617053,0.642584402019348,0.7600889074118887,0.7961372737175286,0.33899159663865547
