name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
Autoencoder,Prostate_GSE6919_U95C,30,12646,5,0.001277139208173691,0.9987228607918264,0.0022988505747126436,0.0019042215305605642,0.0018736374520832906,9.981269761827896,-0.9949893336646203
Autoencoder,Prostate_GSE6919_U95C,30,12646,10,0.0016938898971566847,0.9983061101028434,0.0032183908045977016,0.0024295481255889933,0.002400646776036562,19.936190203401445,-0.993236438429961
Autoencoder,Prostate_GSE6919_U95C,30,12646,20,0.0018893387314439943,0.9981106612685561,0.00367816091954023,0.00209995429973909,0.002065995721487782,39.82344720011192,-0.9915894414937287
Autoencoder,Prostate_GSE6919_U95C,30,12646,50,0.004174663290503015,0.9958253367094969,0.008229885057471265,0.004293039571036964,0.004254575103096902,98.94350044260027,-0.9857505150710085
Autoencoder,Prostate_GSE6919_U95C,30,12646,100,0.00664262593692183,0.9933573740630781,0.013126436781609196,0.0052603953084831715,0.005226947342132565,196.34104100795554,-0.979466856762585
Autoencoder,Prostate_GSE6919_U95C,30,12646,200,0.012399095592906804,0.9876009044070932,0.02442528735632184,0.008748367660938934,0.008721141430219018,386.0861507795349,-0.966786114472095
ChannelAttention,Prostate_GSE6919_U95C,30,12646,5,0.003384418901660281,0.9966155810983397,0.005977011494252874,0.00558383730371979,0.00553071223831981,9.946797472097158,-0.9935322079840397
ChannelAttention,Prostate_GSE6919_U95C,30,12646,10,0.004396047590239967,0.9956039524097601,0.00827586206896552,0.007491021820523738,0.0074186236006683615,19.859487851325753,-0.9908697783227132
ChannelAttention,Prostate_GSE6919_U95C,30,12646,20,0.005387238418091412,0.9946127615819086,0.010344827586206896,0.008777181186058325,0.00872828473474127,39.63340214683833,-0.9882907998784227
ChannelAttention,Prostate_GSE6919_U95C,30,12646,50,0.008845171726980688,0.9911548282730193,0.017241379310344827,0.013340305077692974,0.013307181130404166,98.29982674099375,-0.9805244943541829
ChannelAttention,Prostate_GSE6919_U95C,30,12646,100,0.015139839015320846,0.9848601609846792,0.02931034482758621,0.0215732999114981,0.021543656650382374,193.89990581119886,-0.967296291740714
ChannelAttention,Prostate_GSE6919_U95C,30,12646,200,0.023897265461783532,0.9761027345382165,0.045747126436781624,0.030412836326493668,0.03041982325661588,379.6695309116582,-0.9488362914610944
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,5,0.0035759897828863342,0.9964240102171137,0.0064367816091954015,0.006043789275364692,0.0059825501617120315,9.945207647800116,-0.9877326795593886
