method_a,method_b,statistic,p_value,p_corrected,significant
SVMRFE,KruskallWallisFilter,16.0,7.685230229981244e-11,2.7666828827932477e-09,True
SVMRFE,Lasso,12.0,3.183231456205249e-11,1.1459633242338896e-09,True
SVMRFE,RandomForest,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
SVMRFE,Autoencoder,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
SVMRFE,VAE,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
SVMRFE,Sensitivity,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
SVMRFE,IntegratedGradients,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
SVMRFE,ChannelAttention,0.0,4.547473508864641e-13,1.6370904631912708e-11,True
KruskallWallisFilter,Lasso,1973.0,7.953727484560582e-07,2.8633418944418096e-05,True
KruskallWallisFilter,RandomForest,3128.0,0.033641871932059184,1.0,False
KruskallWallisFilter,Autoencoder,0.0,2.029467500049271e-22,7.306083000177376e-21,True
KruskallWallisFilter,VAE,3.0,2.180661232753018e-22,7.850380437910866e-21,True
KruskallWallisFilter,Sensitivity,3486.0,0.2103185510937624,1.0,False
KruskallWallisFilter,IntegratedGradients,3448.0,0.17855700529035456,1.0,False
KruskallWallisFilter,ChannelAttention,3420.0,0.1575425790557481,1.0,False
Lasso,RandomForest,1200.0,9.194613801711217e-12,3.3100609686160383e-10,True
Lasso,Autoencoder,0.0,2.029467500049271e-22,7.306083000177376e-21,True
Lasso,VAE,1.0,2.0786754355302e-22,7.48323156790872e-21,True
Lasso,Sensitivity,2351.0,5.915516817603289e-05,0.002129586054337184,True
Lasso,IntegratedGradients,1974.0,8.053576445529442e-07,2.899287520390599e-05,True
Lasso,ChannelAttention,1930.0,4.626347222330242e-07,1.665485000038887e-05,True
RandomForest,Autoencoder,5.0,1.1183170041309771e-63,4.025941214871517e-62,True
RandomForest,VAE,114.0,2.657414041742823e-63,9.566690550274162e-62,True
RandomForest,Sensitivity,21414.0,1.245324310438486e-11,4.483167517578549e-10,True
RandomForest,IntegratedGradients,20798.0,1.6103705323934112e-12,5.7973339166162804e-11,True
RandomForest,ChannelAttention,34392.0,0.5030791876960181,1.0,False
Autoencoder,VAE,21935.0,6.58747172292288e-11,2.371489820252237e-09,True
Autoencoder,Sensitivity,71.0,1.889324504989021e-63,6.801568217960476e-62,True
Autoencoder,IntegratedGradients,207.0,5.549792555564308e-63,1.9979253200031512e-61,True
Autoencoder,ChannelAttention,264.0,8.707319993570129e-63,3.134635197685246e-61,True
VAE,Sensitivity,277.0,9.648353856124325e-63,3.473407388204757e-61,True
VAE,IntegratedGradients,157.0,3.736240321356932e-63,1.3450465156884956e-61,True
VAE,ChannelAttention,1666.0,4.499916044495823e-58,1.6199697760184963e-56,True
Sensitivity,IntegratedGradients,34495.0,0.5344688537059826,1.0,False
Sensitivity,ChannelAttention,28764.0,0.0009091945823059388,0.032731004963013795,True
IntegratedGradients,ChannelAttention,28361.0,0.0004535340486457198,0.016327225751245913,True
